,date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,"Washington, D.C.",West Virginia,Wisconsin,Wyoming,week_day,week_no
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,9
7,2020-03-08,1.0,0.0,2.0,3.0,2.0,5.0,-1.0,5.0,-3.0,-2.0,10.0,4.0,-1.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,3.0,-1.0,3.0,1.0,-4.0,0.0,8.0,5.0,-1.0,-2.0,-2.0,-1.0,2.0,3.0,-6.0,1.0,3.0,-6.0,0.0,4.0,2.0,0.0,11.0,4.0,0.0,-8.0,21.0,0.0,0.0,14.0,7,10
14,2020-03-15,-20.0,-7.0,-16.0,-24.0,-30.0,-27.0,-28.0,-30.0,-16.0,-30.0,-11.0,-20.0,-30.0,-27.0,-23.0,-32.0,-32.0,-18.0,-23.0,-35.0,-35.0,-32.0,-27.0,-21.0,-26.0,-31.0,-32.0,-22.0,-24.0,-32.0,-14.0,-28.0,-27.0,-23.0,-31.0,-16.0,-30.0,-34.0,-30.0,-15.0,-38.0,-25.0,-26.0,-12.0,-41.0,-34.0,-23.0,-93.0,-26.0,-28.0,-11.0,7,11
21,2020-03-22,-33.0,-13.0,-38.0,-35.0,-29.0,-30.0,-30.0,-32.0,-42.0,-32.0,-44.0,-16.0,-39.0,-37.0,-40.0,-28.0,-31.0,-38.0,-34.0,-22.0,-28.0,-28.0,-30.0,-37.0,-39.0,-16.0,-25.0,-46.0,-35.0,-27.0,-32.0,-21.0,-31.0,-33.0,-28.0,-36.0,-22.0,-31.0,-31.0,-42.0,-18.0,-34.0,-34.0,-21.0,-44.0,-25.0,-23.0,-30.0,-39.0,-34.0,-32.0,7,12
28,2020-03-29,-2.0,0.0,-6.0,17.0,-3.0,-3.0,-2.0,-2.0,-9.0,-4.0,-23.0,-15.0,0.0,-3.0,-1.0,1.0,1.0,-7.0,-1.0,0.0,-1.0,0.0,0.0,6.0,4.0,-10.0,7.0,-2.0,-4.0,0.0,-12.0,0.0,-4.0,1.0,-6.0,2.0,-6.0,0.0,-2.0,0.0,-3.0,0.0,-7.0,-1.0,-1.0,-2.0,-1.0,0.0,-1.0,0.0,-4.0,7,13
35,2020-04-05,-14.0,0.0,-2.0,-11.0,0.0,0.0,0.0,0.0,-1.0,-8.0,2.0,0.0,1.0,1.0,7.0,-6.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-14.0,-6.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,-5.0,-6.0,-1.0,-8.0,0.0,0.0,0.0,-7.0,-6.0,-10.0,-4.0,0.0,0.0,-3.0,0.0,0.0,-3.0,0.0,-4.0,7,14
42,2020-04-12,-11.0,0.0,0.0,-18.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-1.0,-1.0,-11.0,-5.0,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,-15.0,-4.0,-1.0,-13.0,0.0,0.0,0.0,-1.0,0.0,-5.0,-1.0,0.0,-7.0,0.0,0.0,0.0,-13.0,-9.0,-10.0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,0.0,-16.0,7,15
49,2020-04-19,4.0,0.0,2.0,11.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,4.0,5.0,14.0,13.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,13.0,2.0,19.0,0.0,3.0,0.0,2.0,0.0,6.0,2.0,1.0,15.0,1.0,0.0,0.0,6.0,7.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,14.0,7,16
55,2020-04-26,29.0,3.0,-2.0,24.0,-1.0,1.0,-1.0,0.0,4.0,18.0,3.0,1.0,3.0,2.0,9.0,6.0,-5.0,19.0,1.0,0.0,0.0,1.0,5.0,26.0,9.0,10.0,8.0,0.0,-2.0,0.0,1.0,0.0,9.0,8.0,0.0,12.0,0.0,0.0,0.0,20.0,22.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,-6.0,8.0,13.0,7,17
62,2020-05-03,29.0,22.0,11.0,11.0,7.0,20.0,26.0,8.0,19.0,25.0,10.0,24.0,15.0,22.0,28.0,17.0,29.0,20.0,32.0,0.0,16.0,21.0,26.0,22.0,10.0,28.0,18.0,7.0,31.0,7.0,21.0,4.0,25.0,41.0,27.0,19.0,11.0,17.0,24.0,26.0,37.0,33.0,16.0,10.0,31.0,17.0,3.0,0.0,26.0,33.0,31.0,7,18
69,2020-05-10,5.0,-23.0,-5.0,14.0,-6.0,0.0,-9.0,10.0,-2.0,9.0,-12.0,11.0,-10.0,4.0,-14.0,7.0,14.0,5.0,-2.0,2.0,-12.0,-13.0,-17.0,9.0,15.0,12.0,1.0,-5.0,-10.0,-1.0,-2.0,-3.0,6.0,-9.0,2.0,7.0,1.0,-1.0,-6.0,7.0,-12.0,11.0,7.0,7.0,-24.0,5.0,6.0,0.0,20.0,-28.0,5.0,7,19
76,2020-05-17,-12.0,34.0,13.0,-17.0,3.0,9.0,4.0,-3.0,10.0,-7.0,23.0,-3.0,-10.0,-8.0,-8.0,-2.0,-7.0,-10.0,17.0,1.0,7.0,-7.0,-10.0,-15.0,-11.0,8.0,-7.0,4.0,9.0,2.0,6.0,2.0,-6.0,34.0,4.0,1.0,-1.0,1.0,7.0,-3.0,10.0,-9.0,-3.0,-4.0,25.0,-2.0,-4.0,1.0,-1.0,-10.0,16.0,7,20
83,2020-05-24,13.0,-6.0,13.0,14.0,15.0,-11.0,11.0,6.0,2.0,6.0,14.0,23.0,33.0,29.0,22.0,7.0,17.0,15.0,1.0,6.0,10.0,34.0,29.0,18.0,14.0,12.0,7.0,17.0,8.0,7.0,10.0,9.0,6.0,-10.0,18.0,3.0,24.0,15.0,12.0,2.0,14.0,12.0,1.0,21.0,15.0,7.0,17.0,0.0,11.0,51.0,-6.0,7,21
89,2020-05-31,-6.0,18.0,-6.0,-3.0,-3.0,14.0,-18.0,-6.0,-5.0,-11.0,10.0,-2.0,-8.0,-12.0,1.0,1.0,-9.0,-6.0,-37.0,-4.0,-15.0,-9.0,1.0,-8.0,0.0,-2.0,2.0,0.0,-22.0,-8.0,-5.0,-11.0,-12.0,4.0,-13.0,2.0,-2.0,-20.0,-16.0,-16.0,2.0,-7.0,4.0,-8.0,-43.0,-10.0,-5.0,2.0,-22.0,-4.0,28.0,7,22
96,2020-06-07,-5.0,19.0,1.0,8.0,7.0,7.0,21.0,29.0,1.0,10.0,-6.0,-23.0,13.0,13.0,14.0,5.0,12.0,-25.0,33.0,14.0,14.0,15.0,10.0,-8.0,6.0,-6.0,6.0,7.0,20.0,15.0,5.0,13.0,16.0,4.0,15.0,4.0,-9.0,28.0,14.0,17.0,11.0,9.0,4.0,-19.0,38.0,19.0,1.0,9.0,30.0,9.0,-12.0,7,23
103,2020-06-14,6.0,6.0,-6.0,-7.0,6.0,-3.0,-3.0,-6.0,9.0,-1.0,5.0,20.0,-3.0,-2.0,-5.0,-3.0,-7.0,31.0,4.0,-5.0,6.0,0.0,-2.0,12.0,-3.0,4.0,-3.0,10.0,0.0,-5.0,-2.0,-1.0,-9.0,-13.0,-6.0,-7.0,21.0,-7.0,5.0,-8.0,0.0,-6.0,-4.0,12.0,-14.0,-7.0,17.0,-3.0,-24.0,-3.0,18.0,7,24
110,2020-06-21,12.0,-23.0,3.0,8.0,1.0,12.0,15.0,7.0,7.0,14.0,-1.0,16.0,11.0,8.0,18.0,12.0,10.0,7.0,29.0,13.0,13.0,11.0,13.0,15.0,15.0,29.0,17.0,-2.0,18.0,13.0,11.0,11.0,15.0,38.0,10.0,5.0,6.0,14.0,12.0,16.0,36.0,9.0,5.0,17.0,26.0,14.0,4.0,-1.0,26.0,19.0,10.0,7,25
117,2020-06-28,-4.0,-2.0,2.0,-1.0,-3.0,7.0,-11.0,1.0,-5.0,-5.0,3.0,-11.0,5.0,1.0,0.0,0.0,-10.0,-5.0,-21.0,-1.0,-12.0,11.0,5.0,-5.0,-4.0,-3.0,8.0,-3.0,-10.0,-1.0,5.0,0.0,-7.0,-3.0,1.0,2.0,-3.0,2.0,-7.0,-9.0,5.0,-3.0,-5.0,-8.0,-21.0,-3.0,0.0,7.0,-10.0,6.0,8.0,7,26
124,2020-07-05,-6.0,13.0,-11.0,-2.0,-8.0,-4.0,13.0,1.0,-7.0,-4.0,-11.0,9.0,-3.0,0.0,-10.0,-12.0,14.0,-10.0,6.0,1.0,11.0,-7.0,-7.0,-9.0,-4.0,20.0,-10.0,-3.0,11.0,4.0,-12.0,9.0,0.0,-13.0,-3.0,-6.0,-2.0,1.0,9.0,1.0,-3.0,-3.0,-7.0,0.0,37.0,1.0,1.0,40.0,10.0,-8.0,1.0,7,27
131,2020-07-12,1.0,-6.0,3.0,7.0,10.0,5.0,20.0,15.0,19.0,14.0,11.0,1.0,16.0,11.0,21.0,15.0,6.0,18.0,15.0,21.0,25.0,13.0,21.0,11.0,10.0,0.0,18.0,4.0,8.0,22.0,4.0,24.0,21.0,24.0,11.0,6.0,12.0,23.0,24.0,14.0,20.0,4.0,10.0,1.0,-22.0,17.0,7.0,277.0,7.0,17.0,6.0,7,28
138,2020-07-19,-4.0,-13.0,-1.0,-11.0,-9.0,-5.0,-23.0,-20.0,-12.0,-14.0,-12.0,-9.0,-24.0,-22.0,-24.0,-19.0,-14.0,-16.0,-14.0,-21.0,-21.0,-30.0,-14.0,-13.0,-18.0,-13.0,-20.0,-17.0,-10.0,-20.0,-7.0,-25.0,-21.0,-22.0,-20.0,-10.0,-11.0,-26.0,-24.0,-19.0,-38.0,-6.0,-5.0,-1.0,-5.0,-21.0,-4.0,-290.0,-22.0,-26.0,-24.0,7,29
145,2020-07-26,0.0,12.0,-3.0,-2.0,-8.0,-10.0,-6.0,-7.0,-9.0,-3.0,-39.0,-6.0,2.0,5.0,-9.0,2.0,-6.0,-10.0,-7.0,-6.0,-6.0,10.0,-15.0,-4.0,0.0,-10.0,-3.0,4.0,-2.0,-5.0,-6.0,-8.0,-2.0,-7.0,1.0,-2.0,-6.0,-6.0,-10.0,-1.0,3.0,-2.0,-9.0,-4.0,0.0,-3.0,-6.0,-34.0,-2.0,-12.0,1.0,7,30
152,2020-08-02,-6.0,-27.0,-3.0,-4.0,-8.0,-3.0,-24.0,-14.0,-22.0,-8.0,18.0,-11.0,-11.0,-16.0,-2.0,-7.0,-11.0,1.0,-24.0,-11.0,-20.0,-24.0,-4.0,-2.0,-10.0,-23.0,-3.0,-7.0,-23.0,-14.0,-5.0,-14.0,-13.0,-11.0,-21.0,-6.0,-12.0,-21.0,-20.0,-12.0,-11.0,-5.0,2.0,-8.0,-32.0,-11.0,-13.0,1.0,-15.0,-15.0,-20.0,7,31
159,2020-08-09,5.0,33.0,8.0,5.0,13.0,7.0,27.0,21.0,27.0,9.0,3.0,16.0,9.0,14.0,3.0,1.0,16.0,9.0,28.0,13.0,20.0,23.0,-4.0,5.0,7.0,27.0,4.0,14.0,19.0,19.0,8.0,19.0,12.0,1.0,23.0,7.0,19.0,25.0,17.0,14.0,19.0,6.0,9.0,10.0,39.0,14.0,17.0,6.0,22.0,12.0,22.0,7,32
166,2020-08-16,0.0,0.0,-2.0,0.0,-10.0,-5.0,-21.0,-18.0,0.0,-1.0,-5.0,-5.0,2.0,-2.0,9.0,3.0,-6.0,-1.0,-6.0,-11.0,-16.0,-4.0,18.0,-2.0,3.0,-14.0,-5.0,-7.0,-7.0,-19.0,-1.0,-17.0,-3.0,9.0,-8.0,-3.0,-10.0,-11.0,-21.0,0.0,-17.0,-2.0,-2.0,-6.0,-10.0,-11.0,-5.0,-4.0,-11.0,12.0,-6.0,7,33
173,2020-08-23,0.0,-10.0,10.0,5.0,9.0,4.0,29.0,23.0,6.0,2.0,5.0,2.0,6.0,6.0,2.0,8.0,9.0,10.0,17.0,20.0,26.0,15.0,11.0,5.0,4.0,7.0,7.0,6.0,22.0,22.0,7.0,24.0,9.0,9.0,14.0,6.0,11.0,16.0,37.0,2.0,-13.0,5.0,7.0,8.0,12.0,20.0,7.0,23.0,10.0,11.0,-9.0,7,34
180,2020-08-30,-5.0,1.0,-1.0,-16.0,4.0,0.0,-7.0,-3.0,-13.0,-3.0,-8.0,-1.0,0.0,-4.0,-3.0,-3.0,-7.0,-2.0,-24.0,-5.0,-5.0,-9.0,-8.0,-6.0,-4.0,-13.0,-3.0,1.0,-18.0,2.0,2.0,-6.0,-4.0,-20.0,-4.0,-5.0,1.0,-4.0,-12.0,0.0,-11.0,-10.0,-6.0,1.0,-17.0,-7.0,1.0,-7.0,-4.0,-4.0,-17.0,7,35
187,2020-09-06,9.0,10.0,2.0,12.0,-1.0,3.0,7.0,3.0,18.0,7.0,5.0,-1.0,-7.0,-1.0,-11.0,0.0,8.0,3.0,15.0,10.0,8.0,-3.0,-7.0,6.0,-1.0,4.0,2.0,3.0,7.0,4.0,5.0,11.0,5.0,3.0,4.0,3.0,-2.0,8.0,8.0,2.0,8.0,12.0,9.0,-3.0,22.0,7.0,1.0,23.0,6.0,-22.0,18.0,7,36
194,2020-09-13,-1.0,8.0,6.0,0.0,1.0,0.0,-6.0,-7.0,-14.0,-2.0,2.0,-3.0,8.0,5.0,9.0,4.0,-7.0,-3.0,-5.0,-7.0,-11.0,3.0,3.0,-2.0,4.0,-2.0,6.0,1.0,-5.0,-5.0,-1.0,-13.0,-2.0,1.0,-8.0,3.0,-31.0,-11.0,-8.0,-1.0,0.0,-10.0,-2.0,3.0,-14.0,-4.0,-25.0,-20.0,-11.0,9.0,-3.0,7,37
201,2020-09-20,3.0,-15.0,-1.0,5.0,6.0,1.0,1.0,5.0,7.0,5.0,2.0,4.0,3.0,3.0,4.0,-2.0,12.0,-4.0,1.0,3.0,3.0,5.0,5.0,5.0,1.0,-7.0,0.0,3.0,2.0,3.0,2.0,6.0,3.0,1.0,10.0,3.0,28.0,9.0,1.0,3.0,-7.0,13.0,-1.0,3.0,10.0,3.0,21.0,4.0,10.0,5.0,-3.0,7,38
208,2020-09-27,1.0,-2.0,2.0,-1.0,0.0,-3.0,3.0,0.0,5.0,-2.0,13.0,-1.0,-1.0,2.0,-11.0,-10.0,0.0,9.0,6.0,-2.0,0.0,1.0,-2.0,3.0,-5.0,-5.0,-9.0,3.0,6.0,2.0,-3.0,4.0,0.0,-9.0,1.0,-4.0,6.0,-2.0,-2.0,1.0,-3.0,-1.0,4.0,1.0,12.0,-1.0,-1.0,2.0,0.0,-7.0,-16.0,7,39
215,2020-10-04,-1.0,-12.0,-4.0,-2.0,-5.0,-1.0,-1.0,0.0,-8.0,3.0,-6.0,-5.0,-6.0,-13.0,5.0,11.0,-8.0,-2.0,-9.0,1.0,0.0,-16.0,-6.0,2.0,2.0,-3.0,4.0,-6.0,-3.0,-1.0,-4.0,-6.0,-2.0,5.0,-13.0,1.0,-7.0,0.0,2.0,0.0,-1.0,-2.0,-1.0,-12.0,-9.0,-1.0,-9.0,0.0,-5.0,-1.0,6.0,7,40
221,2020-10-11,-7.0,-3.0,9.0,1.0,2.0,-1.0,1.0,-11.0,9.0,-11.0,3.0,-6.0,12.0,8.0,11.0,-1.0,-7.0,-2.0,4.0,-11.0,5.0,18.0,3.0,-10.0,7.0,-17.0,2.0,4.0,1.0,-3.0,3.0,5.0,-17.0,-6.0,6.0,0.0,-10.0,-5.0,4.0,-11.0,-3.0,-9.0,4.0,4.0,7.0,-14.0,-4.0,-3.0,-11.0,5.0,-18.0,7,41
228,2020-10-18,14.0,-10.0,2.0,-1.0,2.0,-3.0,-2.0,8.0,3.0,16.0,-1.0,4.0,-17.0,-5.0,-19.0,-4.0,7.0,10.0,-13.0,12.0,-6.0,-16.0,-12.0,13.0,-7.0,-18.0,-11.0,5.0,-10.0,6.0,7.0,0.0,23.0,-5.0,-5.0,-4.0,14.0,7.0,-6.0,15.0,-6.0,12.0,2.0,6.0,-23.0,20.0,9.0,7.0,16.0,-16.0,0.0,7,42
235,2020-10-25,-11.0,3.0,-4.0,-7.0,-4.0,-39.0,-15.0,-19.0,-8.0,-13.0,14.0,-18.0,-6.0,-9.0,-23.0,-15.0,-10.0,-10.0,-16.0,-20.0,-17.0,-8.0,-20.0,-12.0,-10.0,-12.0,-35.0,-5.0,-14.0,-16.0,-19.0,-13.0,-22.0,-21.0,-8.0,-5.0,-8.0,-18.0,-14.0,-16.0,-53.0,-9.0,-9.0,-15.0,-19.0,-24.0,-1.0,-17.0,-20.0,-16.0,-60.0,7,43
242,2020-11-01,2.0,-16.0,-8.0,0.0,-4.0,28.0,-10.0,-7.0,-4.0,4.0,-16.0,0.0,-8.0,-7.0,13.0,6.0,-1.0,-1.0,-10.0,-1.0,-7.0,-14.0,5.0,-1.0,0.0,18.0,28.0,-7.0,-7.0,-11.0,-9.0,-10.0,4.0,6.0,-9.0,5.0,-8.0,-12.0,-12.0,2.0,34.0,-2.0,1.0,-1.0,-6.0,1.0,-10.0,-7.0,-4.0,-2.0,39.0,7,44
249,2020-11-08,0.0,-1.0,5.0,5.0,-4.0,-4.0,15.0,24.0,-7.0,0.0,13.0,-6.0,11.0,10.0,4.0,2.0,8.0,0.0,10.0,16.0,17.0,18.0,13.0,4.0,6.0,-26.0,-1.0,-3.0,13.0,20.0,2.0,18.0,10.0,8.0,14.0,0.0,1.0,21.0,14.0,6.0,2.0,5.0,2.0,-5.0,15.0,15.0,4.0,26.0,15.0,20.0,-6.0,7,45
256,2020-11-15,1.0,16.0,5.0,-1.0,7.0,1.0,-11.0,-7.0,21.0,4.0,3.0,1.0,-12.0,-11.0,-15.0,2.0,-7.0,5.0,-4.0,-8.0,-7.0,-15.0,-13.0,0.0,-3.0,30.0,1.0,7.0,-8.0,-9.0,8.0,-11.0,0.0,2.0,-13.0,-2.0,-5.0,-11.0,-4.0,3.0,-3.0,-3.0,4.0,2.0,-14.0,-4.0,-3.0,7.0,-11.0,-19.0,3.0,7,46
263,2020-11-22,5.0,-2.0,-1.0,-2.0,-5.0,-1.0,5.0,-1.0,0.0,5.0,-2.0,7.0,5.0,1.0,5.0,-2.0,-9.0,0.0,3.0,1.0,1.0,-3.0,-8.0,1.0,-1.0,-2.0,0.0,0.0,1.0,1.0,-15.0,4.0,4.0,-5.0,1.0,-2.0,-9.0,0.0,3.0,2.0,11.0,0.0,-1.0,4.0,2.0,5.0,-8.0,-8.0,6.0,15.0,9.0,7,47
270,2020-11-29,-22.0,-5.0,-9.0,-12.0,-7.0,-7.0,-5.0,-5.0,-5.0,-17.0,-1.0,-3.0,-4.0,-1.0,-7.0,-11.0,1.0,-21.0,-6.0,-6.0,-5.0,3.0,-5.0,-18.0,-8.0,3.0,-14.0,-8.0,-5.0,-6.0,-2.0,-4.0,-10.0,-13.0,0.0,-8.0,3.0,-1.0,-4.0,-10.0,-10.0,-8.0,-10.0,-1.0,1.0,-9.0,0.0,-25.0,-3.0,-6.0,-5.0,7,48
277,2020-12-06,15.0,2.0,6.0,11.0,3.0,13.0,0.0,-1.0,5.0,11.0,9.0,7.0,7.0,6.0,14.0,14.0,4.0,14.0,-13.0,4.0,-6.0,3.0,10.0,15.0,11.0,9.0,17.0,2.0,-10.0,2.0,16.0,2.0,5.0,20.0,4.0,11.0,7.0,2.0,-7.0,6.0,12.0,8.0,10.0,3.0,-3.0,3.0,4.0,1.0,-2.0,5.0,14.0,7,49
283,2020-12-20,14.0,20.0,12.0,17.0,-1.0,16.0,8.0,7.0,13.0,15.0,10.0,17.0,19.0,18.0,23.0,13.0,23.0,16.0,33.0,11.0,17.0,19.0,20.0,13.0,15.0,12.0,17.0,12.0,25.0,10.0,20.0,7.0,7.0,16.0,19.0,17.0,6.0,5.0,16.0,10.0,16.0,11.0,16.0,14.0,26.0,13.0,14.0,26.0,20.0,22.0,10.0,7,51
290,2020-12-27,-23.0,-35.0,-27.0,-24.0,-8.0,-20.0,-4.0,-11.0,-16.0,-24.0,-25.0,-32.0,-25.0,-24.0,-36.0,-23.0,-23.0,-17.0,-9.0,-16.0,-7.0,-22.0,-26.0,-20.0,-23.0,-22.0,-26.0,-24.0,-9.0,-11.0,-26.0,-10.0,-14.0,-28.0,-23.0,-26.0,-19.0,-15.0,-7.0,-19.0,-32.0,-22.0,-26.0,-23.0,-8.0,-20.0,-29.0,-32.0,-25.0,-28.0,-27.0,7,52
297,2021-01-03,2.0,2.0,0.0,0.0,1.0,2.0,-9.0,-6.0,-1.0,1.0,1.0,3.0,-5.0,-1.0,3.0,-4.0,-1.0,-4.0,1.0,-5.0,-6.0,-5.0,7.0,1.0,-6.0,1.0,-1.0,4.0,0.0,-13.0,1.0,-10.0,-2.0,11.0,-1.0,-1.0,0.0,-13.0,-4.0,4.0,11.0,3.0,-1.0,-3.0,11.0,-5.0,1.0,-5.0,0.0,1.0,1.0,7,53
