week,startDayWeek,Washington,Illinois,California,Arizona,Massachusetts,Wisconsin,Texas,Nebraska,Utah,Oregon,Florida,New York,Rhode Island,Georgia,New Hampshire,North Carolina,New Jersey,Colorado,Maryland,Nevada,Tennessee,Hawaii,Indiana,Kentucky,Minnesota,Oklahoma,Pennsylvania,South Carolina,District of Columbia,Kansas,Missouri,Vermont,Virginia,Connecticut,Iowa,Louisiana,Ohio,Michigan,South Dakota,Arkansas,Delaware,Mississippi,New Mexico,North Dakota,Wyoming,Alaska,Maine,Alabama,Idaho,Montana,Puerto Rico,Virgin Islands,Guam,West Virginia,Northern Mariana Islands
4,1/20/2020,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1/27/2020,1,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,2/3/2020,1,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,2/10/2020,1,2,7,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,2/17/2020,1,2,9,1,1,1,4,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2/24/2020,16,3,33,1,1,1,11,13,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,3/2/2020,140,7,112,5,28,1,23,16,3,13,13,106,3,11,4,2,6,8,5,4,3,2,2,4,2,1,6,6,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,3/9/2020,674,94,478,13,164,33,80,31,29,39,109,732,20,97,13,32,98,136,32,26,39,7,19,21,35,8,68,28,17,9,5,8,45,26,22,103,37,53,9,16,7,10,17,1,3,1,12,23,5,6,5,1,3,1,1
12,3/16/2020,1843,1047,1851,153,646,382,639,62,182,161,1000,15188,83,620,78,269,1914,591,245,190,424,56,204,103,171,67,504,194,98,66,130,52,219,327,90,837,351,1033,21,165,56,207,65,30,26,22,89,157,47,34,23,17,27,16,1
13,3/23/2020,4896,4615,6321,930,4955,1120,2722,138,719,549,4943,59783,294,2683,258,1166,13386,2315,1244,920,1569,175,1522,439,504,429,3441,775,342,333,902,235,889,1993,336,3539,1665,5486,90,449,232,759,237,97,88,114,253,830,310,161,127,23,58,124,2
14,3/30/2020,7984,11276,15202,2269,12500,2267,7117,377,1618,1068,12342,124085,922,6742,669,2585,37505,4950,3609,1880,3538,369,4437,1048,935,1251,11590,2049,998,769,2367,512,2636,5675,868,13014,4043,15633,240,853,673,1638,624,207,200,183,470,1840,1100,298,475,42,265,325,8
15,4/6/2020,10413,20852,23323,3539,25475,3341,13776,805,2305,1527,19855,191425,2665,12103,985,4520,61850,7303,8225,2860,5144,497,7990,1963,1621,1970,22955,3319,1875,1337,4160,727,5273,12035,1587,20595,6605,24496,729,1280,1625,2781,1245,308,364,270,633,3583,1457,387,897,51,716,615,11
16,4/13/2020,11863,30357,31544,4929,38077,4346,19441,1473,3071,1910,26306,246741,4706,17619,1392,6493,85301,9730,12892,3710,6824,574,11301,2960,2356,2599,32992,4377,2793,1897,5667,812,8536,17962,2915,23928,11602,31349,1635,1781,2538,4274,1845,585,422,317,867,4903,1672,433,1213,53,808,890,14
17,4/20/2020,13743,43903,43691,6526,54938,5986,25209,3126,4123,2311,31520,292914,7439,22459,1864,8830,109038,13440,18664,4638,9435,599,15187,4074,3602,3253,42709,5490,3841,3198,6997,851,12969,25269,5490,26832,15963,38003,2213,3001,4034,5911,2728,867,502,339,1015,6421,1897,448,1371,59,997,1054,14
18,4/27/2020,15942,61499,55072,8640,68087,8089,32299,5686,5175,2680,36070,321833,9477,27618,2518,11668,126744,16527,25561,5473,12871,611,20267,5223,6663,3972,52079,6626,5016,5177,8454,897,18671,29287,9169,29383,19914,43803,2630,3431,5208,7550,3850,1191,586,366,1185,7888,2059,454,1806,66,1118,1196,14
19,5/4/2020,17780,77662,68051,11119,77793,10379,40037,8328,6251,3228,40588,340657,11274,32267,3071,14783,138532,19595,32693,6120,15060,621,24633,6486,11270,4589,60037,7653,6272,7045,9906,926,24079,33554,11959,31673,24086,47116,3517,4012,6447,9501,4863,1491,662,378,1436,9889,2232,458,2198,69,1120,1363,16
20,5/11/2020,19513,94360,80366,13937,86010,12754,48828,10348,7238,3623,45580,355037,12674,35954,3596,18537,146334,21909,38920,6935,17391,630,28419,7793,15677,5310,65745,8816,7123,8066,11069,940,30383,37419,14651,34498,27925,51054,3987,4759,7670,11296,5938,1900,754,396,1687,11771,2421,468,2646,69,1123,1492,21
21,5/18/2020,20988,110541,94743,16339,92675,15573,56050,12133,8392,3927,50859,366346,14065,40989,4149,23231,154154,24140,46919,7886,20116,633,32151,8842,20582,6037,71656,10096,8110,9135,12114,956,36220,40468,17434,37293,31911,54616,4563,5922,8809,13252,6943,2418,813,409,2055,14478,2650,479,3189,69,1135,1771,22
22,5/25/2020,22813,120588,113114,19936,96965,18684,64974,14101,9829,4243,56155,375575,14928,45051,4651,28686,160445,26364,53456,8628,22832,642,35429,9937,24860,6506,76218,11861,8801,9878,13297,981,44576,42201,19621,40021,35513,57355,4993,7253,9498,15501,7689,2580,903,469,2325,17952,2855,515,3776,70,1144,2010,22
23,6/1/2020,25063,128070,131997,26924,103436,21246,75948,15634,12084,4809,63930,382879,15441,49371,5043,35663,164164,27987,58593,9673,26811,663,38328,11393,27897,7151,80001,14286,9332,10549,14985,1063,50633,43968,21794,42927,38476,64615,5438,9426,9942,17270,8940,2864,947,588,2570,20500,3153,545,4985,71,1148,2144,27
24,6/8/2020,27134,133719,152953,35953,105603,25307,89542,16735,14313,5644,75560,388096,15947,54874,5318,44199,166881,29115,62328,11199,30174,716,40901,12652,30502,8231,83301,18796,9767,11247,16384,1127,54452,45088,23959,46732,41148,66246,5898,12501,10264,19516,9723,3083,1060,734,2793,25615,3413,601,5811,73,1154,2290,30
25,6/15/2020,29796,138154,178807,52666,107061,27598,114886,17810,17567,6945,97283,392702,16337,61493,5544,52854,169142,30524,64903,13236,34719,802,43496,13919,32952,10515,86024,24693,10020,12258,18552,1159,57935,45755,26020,49890,44808,67873,6297,15561,10775,21022,10565,3294,1197,859,2957,30021,4025,717,6525,76,1191,2543,30
26,6/22/2020,33340,143117,216955,73961,108667,30716,152866,18900,21155,8348,141067,397293,16661,72800,5747,62178,173036,32290,67360,17187,39945,883,46071,15480,35584,12944,89785,33320,10248,14016,21254,1202,61664,46303,28520,56349,50309,70042,6681,19818,11226,25899,11809,3504,1417,1060,3191,35441,5543,863,7189,81,1217,2831,30
27,6/29/2020,37467,148730,271587,98126,109974,34750,200137,19937,25005,10237,200103,401822,16991,89489,5897,73096,175258,34100,69957,22518,50365,1005,49203,16712,38173,15928,94403,44847,10482,16289,24334,1249,65662,46717,31612,65334,57151,73027,7063,23814,12128,30900,13256,3825,1634,1371,3415,43953,7799,1212,7916,112,1257,3335,31
28,7/6/2020,42180,155355,327676,122479,111597,39901,264811,21214,29552,12170,269803,406403,17312,108389,6054,85831,177245,36933,73705,27745,61106,1201,52892,19762,42319,20235,99794,56648,10847,19295,29173,1296,70558,47287,35410,78230,65592,76936,7499,28367,12804,36287,15028,4338,1862,1772,3539,53587,10971,1758,9654,206,1281,4244,33
29,7/13/2020,48600,163284,391460,143644,113534,45953,338036,22637,34117,14586,350039,411515,17793,130794,6203,99841,178757,40182,78698,35826,76180,1359,57965,23600,46244,25265,105384,69986,11261,22459,35154,1350,77298,47893,38813,91816,74932,81935,7906,33228,13519,42638,16971,5023,2126,2275,3687,67011,14960,2533,12063,297,1284,5042,37
30,7/20/2020,54420,173079,459338,162041,115637,52685,395738,24618,37973,16764,423847,416443,18224,153476,6436,112802,181283,44364,84306,42919,91330,1660,63881,27682,51193,31285,111773,81199,11780,25649,43477,1400,84418,48776,42357,107686,84073,86750,8395,38623,14290,52304,19053,5880,2475,3100,3814,79294,18262,3342,15143,361,1306,5960,40
31,7/27/2020,60159,183714,515937,178473,118458,58990,454759,26702,41175,19097,487124,421008,19022,177556,6634,125281,184225,47799,90835,50270,106804,2219,69531,31966,55987,38201,118038,91788,12274,28341,52577,1426,91613,49810,45723,119861,93031,91857,8955,43810,14949,60553,21016,6664,2808,3982,3958,91444,21465,4193,18411,421,1328,6854,45
32,8/3/2020,65247,195897,563244,187086,121040,64835,510392,28432,44130,21272,532798,425568,19738,200147,6831,136250,186626,50799,96065,56278,119788,3475,76071,36316,60939,43561,123312,100435,12753,31145,59895,1459,100086,50320,48919,131517,100848,96835,9605,49383,15575,67173,22315,7600,3050,4471,4042,101334,24797,4952,22121,547,1381,7694,48
33,8/10/2020,69893,208068,628508,193554,123593,70246,563464,30372,46652,23262,573408,430226,20335,220165,6988,145111,189294,53188,100772,61374,130620,5019,82304,40883,65198,48342,129075,106497,13220,34495,68493,1515,106687,50897,52447,138041,108287,102323,10274,52665,16451,72136,23408,8591,3286,5058,4168,108433,27794,5751,26006,741,1471,8564,50
34,8/17/2020,73744,222292,669944,198117,125360,75205,602144,31889,49125,24938,600563,434462,21022,237402,7107,155390,191323,55441,104618,65678,141000,6577,87942,45401,69630,53165,133679,111988,13590,37726,76339,1557,112966,51519,56441,143084,114802,106875,11276,56574,16895,77894,24396,9880,3579,5556,4335,115060,29973,6444,29896,984,1736,9272,54
35,8/24/2020,77121,235779,706589,201695,128229,80311,636547,34046,51854,26554,621578,438831,21683,252813,7254,166510,193391,57515,108286,68981,150249,8315,95394,50170,75238,58020,138137,118324,13959,42011,85133,1616,119747,52495,64599,148568,122262,112598,13322,60856,17343,82676,25283,11706,3820,6036,4512,125235,32034,7340,32848,1134,2256,10110,56
36,8/31/2020,80368,252306,740233,205772,122562,86406,665338,35891,54660,28045,646423,444226,22243,266707,7447,177141,195841,59626,112557,71711,161589,9829,101937,56172,80639,63607,143902,124952,14279,46151,94923,1648,126926,53365,70210,153764,130558,117310,15109,65924,18043,86888,26107,13635,4032,6603,4682,132314,34053,8272,34533,1181,2588,11412,58
37,9/7/2020,83176,264340,763389,208514,124826,94723,689941,38188,57892,29337,663986,449072,22905,277715,7696,185325,198423,61641,116600,73648,169310,10808,108020,60607,84363,69354,148635,131864,14592,49408,104603,1684,133814,54326,74675,158390,137405,123075,16638,70219,18849,89874,26761,15580,4346,7136,4863,138755,35693,9037,37380,1220,2832,12699,60
38,9/14/2020,86168,277373,788077,214018,127540,107343,722460,41083,63774,30802,683746,454612,23620,289096,7947,193978,201553,65248,120656,75914,180621,11534,113728,65413,90069,76807,154924,137708,14955,53433,115000,1715,140511,55527,80410,162258,144309,128148,18696,75723,19566,93364,27579,17961,4871,7704,5079,144962,37768,10325,41838,1269,3043,14054,68
39,9/21/2020,89821,291271,811698,217237,130642,122498,770539,44063,70616,32820,700556,460340,24181,298321,8172,207407,205339,69472,123895,78820,190037,12264,119721,70385,96786,84333,160770,145887,15250,57965,126115,1742,146144,56587,86624,166075,150809,134409,21541,81242,20260,96859,28844,20727,5633,8359,5288,152321,40501,12126,46304,1317,3255,15348,69
40,9/28/2020,93526,305218,834635,220757,134947,139941,801633,47807,77618,34771,716451,469307,25076,306778,8645,217641,209989,73389,127785,82134,198262,12957,127501,76086,103879,91317,168161,151582,15519,62417,135691,1785,151870,58297,92744,169719,158907,141287,24418,87013,21243,100488,30477,23553,6504,9300,5519,159169,43964,14738,50675,1327,3586,16628,73
41,10/5/2020,97526,322985,857076,225575,138903,158426,830207,52382,85844,37263,734483,479013,26294,315978,9143,231564,215416,78752,131853,85922,211426,13633,137359,82358,112321,99387,176820,157406,15984,67161,148481,1868,158716,60038,99941,174587,168749,149448,28564,92833,22130,104932,32983,27269,7611,10608,5723,165342,48155,18733,53671,1325,4047,18128,77
